;taxon_id;isfs;species;code_ws;status;num_obs;years_min;years_max;douteuse
0;1000000;100.0;Abies alba Mill.;Fréquent;Indigène;9;1955;2020;
1;1000020;150.0;Abutilon theophrasti Medik.;-;Néophyte;1;2018;2018;
2;1000070;300.0;Acer campestre L.;Fréquent;Indigène;32;1953;2020;
3;1000110;600.0;Acer opalus Mill.;Fréquent;Indigène;26;1901;2020;
4;1000120;700.0;Acer platanoides L.;Fréquent;Indigène;24;1982;2020;
5;1000130;800.0;Acer pseudoplatanus L.;Fréquent;Indigène;33;1982;2020;
6;1000160;900.0;Aceras anthropophorum (L.) W. T. Aiton;Littérature;Indigène;5;1946;2002;
7;1000330;1700.0;Achillea millefolium L.;Fréquent;Indigène;8;1982;2020;
8;1000320;1706.0;Achillea millefolium aggr.;Fréquent;Indigène;30;1982;2020;
9;1000370;2000.0;Achillea nobilis L.;-;Indigène;1;1892;1892;
10;1000450;2700.0;Achnatherum calamagrostis (L.) P. Beauv.;Fréquent;Indigène;3;1982;2012;
11;1000460;2800.0;Acinos alpinus (L.) Moench;Suppl. de 1994;Indigène;1;1994;2015;
12;1000470;2900.0;Acinos arvensis (Lam.) Dandy;Fréquent;Indigène;20;1982;2020;
13;1000730;5200.0;Actaea spicata L.;Fréquent;Indigène;2;1982;2010;
14;1000820;5800.0;Adonis aestivalis L.;Herbier;Indigène;0;1966;1966;
15;1000880;6300.0;Adoxa moschatellina L.;Fréquent;Indigène;1;1982;2020;
16;1000930;6800.0;Aegopodium podagraria L.;Fréquent;Indigène;10;1982;2020;
17;1000940;6900.0;Aesculus hippocastanum L.;-;Néophyte;6;2006;2018;
18;1000990;7200.0;Aethusa cynapium L.;Fréquent;Indigène;5;1982;2017;
19;1001010;7400.0;Agrimonia eupatoria L.;Fréquent;Indigène;8;1982;2018;
20;1001080;8600.0;Agrostis capillaris L.;Fréquent;Indigène;7;1982;2014;
21;1001130;9300.0;Agrostis stolonifera L.;Fréquent;Indigène;8;1982;2018;
22;1001150;9500.0;Ailanthus altissima (Mill.) Swingle;-;Néophyte;15;2003;2020;
23;1001210;10200.0;Ajuga genevensis L.;Fréquent;Indigène;8;1982;2015;
24;1001230;10400.0;Ajuga reptans L.;Fréquent;Indigène;22;1955;2021;
25;1001270;10500.0;Alcea rosea L.;-;Subspontané;1;2019;2019;
26;1001740;15000.0;Alchemilla glabra aggr.;Fréquent;Indigène;0;1982;1982;
27;1002440;21100.0;Alchemilla vulgaris aggr.;-;Indigène;6;2006;2014;
28;1002470;21300.0;Alchemilla xanthochlora Rothm.;-;Indigène;1;2006;2006;
29;1002510;21900.0;Alisma plantago-aquatica L.;Herbier;Indigène;4;1903;2020;
30;1002520;22100.0;Alliaria petiolata (M. Bieb.) Cavara & Grande;Fréquent;Indigène;36;1982;2021;
31;1002540;22200.0;Allium angulosum L.;Littérature;Indigène;1;1902;1966;
32;1002560;22350.0;Allium carinatum L.;Fréquent;Indigène;2;1982;2015;
33;1002570;22400.0;Allium carinatum L. subsp. carinatum;Fréquent;Indigène;0;1982;1982;
34;1002680;23600.0;Allium oleraceum L.;Fréquent;Indigène;10;1982;2020;
35;1002760;24500.0;Allium sphaerocephalon L.;Fréquent;Indigène;7;1855;2013;
36;1002790;24800.0;Allium ursinum L.;Fréquent;Indigène;8;1982;2021;
37;1002810;25000.0;Allium vineale L.;Fréquent;Indigène;1;1982;2005;
38;1002840;25200.0;Alnus glutinosa (L.) Gaertn.;Fréquent;Indigène;4;1982;2020;
39;1002900;25700.0;Alopecurus geniculatus L.;Littérature;Indigène;1;1966;2010;
40;1002910;25900.0;Alopecurus myosuroides Huds.;Fréquent;Indigène;4;1982;2019;
41;1002920;26000.0;Alopecurus pratensis L.;Fréquent;Indigène;8;1982;2020;
42;1003070;27500.0;Amaranthus albus L.;Littérature;Néophyte;3;1966;2018;
43;1003090;27570.0;Amaranthus blitum L.;-;Indigène;1;2018;2018;
44;1003085;27600.0;Amaranthus blitum aggr.;-;Indigène;1;2018;2018;
45;1003140;28100.0;Amaranthus deflexus L.;Littérature;Néophyte;0;1966;1966;
46;1003170;28400.0;Amaranthus hybridus aggr.;Fréquent;Néophyte;3;1982;2015;
47;1003210;28850.0;Amaranthus powellii S. Watson;-;Néophyte;1;2013;2013;
48;1003220;28900.0;Amaranthus retroflexus L.;Littérature;Néophyte;3;1966;2015;
