"Invasive Species Compendium",
"Switzerland",
"List of Species",
"The table includes species that are invasive in this region, those for which there is no data on invasive status, and also species that are not invasive in the region but are reported as invasive elsewhere. This summary table is based on all the information available.When several references are cited, they may give conflicting information on the distribution record.Further confirmation should be sought before use. Records are included from full and basic datasheets.",
"Domain","Kingdom","Phylum","Species","Distribution","Origin","Invasive","References","Datasheet Status",
"Bacteria","","Actinobacteria [phylum]","Clavibacter michiganensis subsp. michiganensis (bacterial canker of tomato)","Present, Widespread","","","Bradbury (1986); CABI and EPPO (2009); EPPO (2020)","Full",
"Bacteria","","Actinobacteria [phylum]","Clavibacter michiganensis subsp. sepedonicus (Potato ring rot)","Absent, Unconfirmed presence record(s)","","","EPPO (2020)","Full",
"Bacteria","","Actinobacteria [phylum]","Curtobacterium flaccumfaciens pv. flaccumfaciens (bacterial wilt of dry beans)","Absent, Invalid presence record(s)","","","EPPO (2020); CABI and EPPO (2010)","Full",
"Bacteria","","Actinobacteria [phylum]","Dermatophilus congolensis","Absent, No presence record(s)","","","OIE Handistatus (2005)","Full",
"Bacteria","","Actinobacteria [phylum]","Mycobacterium avium subspecies paratuberculosis","Present","","","OIE Handistatus (2005)","Full",
"Bacteria","","Bacteroidetes","Paenibacillus larvae","Present","","","OIE (2009)","Full",
"Bacteria","","Firmicutes","Candidatus Phytoplasma solani (Stolbur phytoplasma)","Present, Localized","","","Gugerli et al. (2002); EPPO (2020)","Full",
"Bacteria","","Firmicutes","Grapevine flavescence doree phytoplasma (flavescence dorée of grapevine)","Present, Few occurrences","","","Schaerer et al. (2007); Schaub (2007); EPPO (2020)","Full",
"Bacteria","","Firmicutes","Grapevine yellows phytoplasmas","Present","","","Caudwell (1993); CABI (Undated)","Full",
"Bacteria","","Firmicutes","Melissococcus plutonius","Present","","","Fried (2012); OIE (2009)","Full",
"Bacteria","","Firmicutes","Mycoplasma capricolum subsp. capripneumoniae","Absent, No presence record(s)","","","OIE Handistatus (2005)","Full",
"Bacteria","","Firmicutes","Phytoplasma mali (apple proliferation)","Present, Widespread","","","Németh (1986); Jarausch et al. (2007); Mayer et al. (2009); Danet et al. (2011); Jarausch et al. (2011); CABI/EPPO (2013); EPPO (2020)","Full",
"Bacteria","","Firmicutes","Phytoplasma prunorum (apricot chlorotic leafroll)","Present, Localized","","","Etropolska and Lefort (2019); CABI and EPPO (2010); EPPO (2020); CABI (Undated)","Full",
