acceptedtaxonkey,acceptedscientificname,numberofoccurrences,kingdom,phylum,class,order,family,genus,species
2701311,juncus effusus l.,8778,plantae,tracheophyta,liliopsida,poales,juncaceae,juncus,juncus effusus
2713300,isolepis setacea (l.) r.br.,362,plantae,tracheophyta,liliopsida,poales,cyperaceae,isolepis,isolepis setacea
2874621,citrullus lanatus (thunb.) matsumura & nakai,11,plantae,tracheophyta,magnoliopsida,cucurbitales,cucurbitaceae,citrullus,citrullus lanatus
8259811,cephalaria alpina schrad.,353,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,cephalaria,cephalaria alpina
2889934,tropaeolum majus l.,64,plantae,tracheophyta,magnoliopsida,brassicales,tropaeolaceae,tropaeolum,tropaeolum majus
2960823,hedysarum hedysaroides schinz & thell.,1712,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,hedysarum,hedysarum hedysaroides
2997666,rubus obtusangulus gremli,56,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,rubus,rubus obtusangulus
3085450,cerastium alpinum l.,224,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,cerastium,cerastium alpinum
3105380,carlina vulgaris l.,2423,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,carlina,carlina vulgaris
9458333,pilosella officinarum vaill.,14492,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,pilosella,pilosella officinarum
3141855,helminthotheca echioides (l.) holub,352,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,helminthotheca,helminthotheca echioides
3170247,asclepias syriaca l.,344,plantae,tracheophyta,magnoliopsida,gentianales,apocynaceae,asclepias,asclepias syriaca
3729230,phelipanche bohemica (celak.) j.holub & zazvorka,9,plantae,tracheophyta,magnoliopsida,lamiales,orobanchaceae,phelipanche,phelipanche bohemica
5275110,dryopteris cristata (l) a.gray,1355,plantae,tracheophyta,polypodiopsida,polypodiales,dryopteridaceae,dryopteris,dryopteris cristata
5275132,dryopteris filix-mas (l.) schott.,9974,plantae,tracheophyta,polypodiopsida,polypodiales,dryopteridaceae,dryopteris,dryopteris filix-mas
5319098,epipactis helleborine subsp. orbicularis (k.richt.) e.klein,269,plantae,tracheophyta,liliopsida,asparagales,orchidaceae,epipactis,epipactis helleborine
5334259,lonicera xylosteum l.,12035,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,lonicera,lonicera xylosteum
5411475,campanula persicifolia l.,2414,plantae,tracheophyta,magnoliopsida,asterales,campanulaceae,campanula,campanula persicifolia
5420901,punica granatum l.,7,plantae,tracheophyta,magnoliopsida,myrtales,lythraceae,punica,punica granatum
5646074,elatine hexandra dc.,15,plantae,tracheophyta,magnoliopsida,malpighiales,elatinaceae,elatine,elatine hexandra
8186928,circaea intermedia ehrh.,241,plantae,tracheophyta,magnoliopsida,myrtales,onagraceae,circaea,circaea intermedia
2855963,allium rotundum l.,123,plantae,tracheophyta,liliopsida,asparagales,amaryllidaceae,allium,allium rotundum
2925901,buglossoides arvensis (l.) i.m.johnst.,1046,plantae,tracheophyta,magnoliopsida,boraginales,boraginaceae,buglossoides,buglossoides arvensis
3083680,atriplex micrantha ledeb.,348,plantae,tracheophyta,magnoliopsida,caryophyllales,amaranthaceae,atriplex,atriplex micrantha
3146734,erigeron atticus vill.,134,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,erigeron,erigeron atticus
5334242,lonicera tatarica l.,56,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,lonicera,lonicera tatarica
5356704,lathyrus vernus bernh.,1735,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,lathyrus,lathyrus vernus
5373254,cochlearia danica l.,183,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,cochlearia,cochlearia danica
5695498,taraxacum schroeterianum hand.-mazz.,122,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,taraxacum,taraxacum schroeterianum
7610857,asplenium trichomanes subsp. quadrivalens d.e.mey.,429,plantae,tracheophyta,polypodiopsida,polypodiales,aspleniaceae,asplenium,asplenium trichomanes
7270231,gentianella germanica subsp. germanica,18,plantae,tracheophyta,magnoliopsida,gentianales,gentianaceae,gentianella,gentianella germanica
2701688,juncus monanthos jacq.,54,plantae,tracheophyta,liliopsida,poales,juncaceae,juncus,juncus monanthos
2706068,hordeum secalinum schreb.,14,plantae,tracheophyta,liliopsida,poales,poaceae,hordeum,hordeum secalinum
2725414,carex demissa hornem.,258,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex demissa
2882833,vaccinium myrtillus l.,16320,plantae,tracheophyta,magnoliopsida,ericales,ericaceae,vaccinium,vaccinium myrtillus
7095665,claytonia perfoliata subsp. perfoliata,35,plantae,tracheophyta,magnoliopsida,caryophyllales,montiaceae,claytonia,claytonia perfoliata
3172414,utricularia minor l.,1259,plantae,tracheophyta,magnoliopsida,lamiales,lentibulariaceae,utricularia,utricularia minor
3886463,clinopodium menthifolium subsp. ascendens (jord.) govaerts,109,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,clinopodium,clinopodium menthifolium
7065422,tanacetum corymbosum subsp. corymbosum,2,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,tanacetum,tanacetum corymbosum
7309436,satureja montana subsp. montana,1,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,satureja,satureja montana
3737391,euphrasia officinalis subsp. monticola silverside,356,plantae,tracheophyta,magnoliopsida,lamiales,orobanchaceae,euphrasia,euphrasia officinalis
2704002,muhlenbergia schreberi j.f.gmel.,122,plantae,tracheophyta,liliopsida,poales,poaceae,muhlenbergia,muhlenbergia schreberi
2706196,milium effusum l.,2879,plantae,tracheophyta,liliopsida,poales,poaceae,milium,milium effusum
3033377,ranunculus trichophyllus chaix,468,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,ranunculus,ranunculus trichophyllus
3045111,alyssum murale waldst. & kit.,25,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,alyssum,alyssum murale
3118430,tanacetum parthenium sch.bip.,844,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,tanacetum,tanacetum parthenium
3170037,gentiana l.,1767,plantae,tracheophyta,magnoliopsida,gentianales,gentianaceae,gentiana,
7277276,ficaria verna subsp. verna,381,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,ficaria,ficaria verna
2704270,poa remota forselles,301,plantae,tracheophyta,liliopsida,poales,poaceae,poa,poa remota
2716489,cyperus fuscus l.,1283,plantae,tracheophyta,liliopsida,poales,cyperaceae,cyperus,cyperus fuscus
2773281,ornithogalum nutans l.,719,plantae,tracheophyta,liliopsida,asparagales,asparagaceae,ornithogalum,ornithogalum nutans
3045788,cardamine plumierii vill.,3,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,cardamine,cardamine plumierii
7068732,arabidopsis arenosa subsp. arenosa,222,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,arabidopsis,arabidopsis arenosa
3841866,blackstonia acuminata (koch & ziz) domin,518,plantae,tracheophyta,magnoliopsida,gentianales,gentianaceae,blackstonia,blackstonia acuminata
4154191,bromus pumpellianus scribn.,2,plantae,tracheophyta,liliopsida,poales,poaceae,bromus,bromus pumpellianus
8916040,clinopodium nepeta kuntze,130,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,clinopodium,clinopodium nepeta
6710437,pulsatilla alpina subsp. apiifolia (scop.) nyman,2252,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,pulsatilla,pulsatilla alpina
7219304,cerastium arvense subsp. arvense,1126,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,cerastium,cerastium arvense
7409013,prunus domestica subsp. insititia (l.) bonnier & layens,145,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,prunus,prunus domestica
6409536,ballota nigra subsp. nigra,507,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,ballota,ballota nigra
7475424,scabiosa lucida vill.,6263,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,scabiosa,scabiosa lucida
7707872,aconitum napellus subsp. lusitanicum rouy,617,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,aconitum,
7903057,brassica rapa l.,221,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,brassica,brassica rapa
6027110,bupleurum exaltatum m.bieb.,9,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,bupleurum,bupleurum exaltatum
2705286,avena sterilis l.,3,plantae,tracheophyta,liliopsida,poales,poaceae,avena,avena sterilis
2724661,carex hirta l.,5812,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex hirta
2729081,carex ericetorum pollich,582,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex ericetorum
2913079,galium megalospermum all.,623,plantae,tracheophyta,magnoliopsida,gentianales,rubiaceae,galium,galium megalospermum
3135843,hieracium pictum pers.,125,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,hieracium,hieracium pictum
4103471,knautia dipsacifolia subsp. sixtina (briq.) ehrend.,15,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,knautia,knautia dipsacifolia
5289781,aegilops geniculata roth,1,plantae,tracheophyta,liliopsida,poales,poaceae,aegilops,aegilops geniculata
5371782,falcaria vulgaris bernh.,430,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,falcaria,falcaria vulgaris
5376426,diplotaxis tenuifolia (l.) dc.,1246,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,diplotaxis,diplotaxis tenuifolia
5403525,crepis conyzifolia (gouan) a.kerner,1535,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,crepis,crepis conyzifolia
5403835,chondrilla chondrilloides h.karst.,250,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,chondrilla,chondrilla chondrilloides
9299708,pulsatilla bolzanensis murr,35,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,pulsatilla,pulsatilla bolzanensis
2926615,origanum majorana l.,21,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,origanum,origanum majorana
3166757,phyteuma ovatum honck.,596,plantae,tracheophyta,magnoliopsida,asterales,campanulaceae,phyteuma,phyteuma ovatum
5341499,nepeta cataria l.,175,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,nepeta,nepeta cataria
5359425,trifolium alpinum l.,2924,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,trifolium,trifolium alpinum
5371772,levisticum officinale w.d.j.koch,34,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,levisticum,levisticum officinale
5403296,crepis paludosa moench,4938,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,crepis,crepis paludosa
6027388,silaum silaus schinz & thell.,1902,plantae,tracheophyta,magnoliopsida,apiales,apiaceae,silaum,silaum silaus
7960979,urtica dioica l.,15234,plantae,tracheophyta,magnoliopsida,rosales,urticaceae,urtica,urtica dioica
8144117,sedum atratum l.,1364,plantae,tracheophyta,magnoliopsida,saxifragales,crassulaceae,sedum,sedum atratum
9121716,galium pumilum murray,11722,plantae,tracheophyta,magnoliopsida,gentianales,rubiaceae,galium,galium pumilum
2705431,eragrostis barrelieri daveau,50,plantae,tracheophyta,liliopsida,poales,poaceae,eragrostis,eragrostis barrelieri
2849584,orchis spitzelii saut. ex w.d.j.koch,129,plantae,tracheophyta,liliopsida,asparagales,orchidaceae,orchis,orchis spitzelii
3001509,malus sylvestris mill.,908,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,malus,malus sylvestris
4211808,erigeron strigosus var. septentrionalis (fernald & wiegand) fernald,793,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,erigeron,erigeron strigosus
5359144,trifolium saxatile all.,713,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,trifolium,trifolium saxatile
5367987,potentilla alba l.,552,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,potentilla,potentilla alba
7400466,aconitum lycoctonum subsp. neapolitanum (ten.) nyman,554,plantae,tracheophyta,magnoliopsida,ranunculales,ranunculaceae,aconitum,aconitum lycoctonum
2651816,adiantum capillus-veneris l.,390,plantae,tracheophyta,polypodiopsida,polypodiales,pteridaceae,adiantum,adiantum capillus-veneris
2722359,carex atrofusca schkuhr,101,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex atrofusca
2925892,echium vulgare l.,6127,plantae,tracheophyta,magnoliopsida,boraginales,boraginaceae,echium,echium vulgare
4008062,androsace alpina lam.,1018,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,androsace,androsace alpina
