"Species","Family","Municipality","Canton","Last year","Map"
"Adscita geryon  (Hübner, 1813)","Zygaenidae","Biel/Bienne","BE","1903","Show (ancien)"
"Adscita statices  (Linnaeus, 1758)","Zygaenidae","Biel/Bienne","BE","2004","Show (ancien)"
"Aglais io  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Aglais urticae  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Anthocharis cardamines  (Linnaeus, 1758)","Pieridae","Biel/Bienne","BE","2021","Show (ancien)"
"Apatura ilia  (Denis & Schiffermüller, 1775)","Nymphalidae","Biel/Bienne","BE","1903","Show (ancien)"
"Apatura iris  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2002","Show (ancien)"
"Aphantopus hyperantus  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2011","Show (ancien)"
"Aporia crataegi  (Linnaeus, 1758)","Pieridae","Biel/Bienne","BE","1912","Show (ancien)"
"Araschnia levana  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2019","Show (ancien)"
"Argynnis paphia  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Aricia agestis  (Denis & Schiffermüller, 1775)","Lycaenidae","Biel/Bienne","BE","2015","Show (ancien)"
"Aricia agestis aggr.","Lycaenidae","Biel/Bienne","BE","2011","Show (ancien)"
"Boloria dia  (Linnaeus, 1767)","Nymphalidae","Biel/Bienne","BE","2016","Show (ancien)"
"Boloria euphrosyne  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2019","Show (ancien)"
"Brenthis daphne  (Denis & Schiffermüller, 1775)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Brintesia circe  (Fabricius, 1775)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Callophrys rubi  (Linnaeus, 1758)","Lycaenidae","Biel/Bienne","BE","2016","Show (ancien)"
"Carcharodus alceae  (Esper, 1780)","Hesperiidae","Biel/Bienne","BE","2020","Show (ancien)"
"Carterocephalus palaemon  (Pallas, 1771)","Hesperiidae","Biel/Bienne","BE","2018","Show (ancien)"
"Celastrina argiolus  (Linnaeus, 1758)","Lycaenidae","Biel/Bienne","BE","2020","Show (ancien)"
"Chazara briseis  (Linnaeus, 1764)","Nymphalidae","Biel/Bienne","BE","1916","Show (ancien)"
"Coenonympha arcania  (Linnaeus, 1761)","Nymphalidae","Biel/Bienne","BE","1979","Show (ancien)"
"Coenonympha glycerion  (Borkhausen, 1788)","Nymphalidae","Biel/Bienne","BE","1905","Show (ancien)"
"Coenonympha pamphilus  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Colias alfacariensis  Ribbe, 1905","Pieridae","Biel/Bienne","BE","2021","Show (ancien)"
"Colias crocea  (Fourcroy, 1785)","Pieridae","Biel/Bienne","BE","2019","Show (ancien)"
"Colias hyale aggr.","Pieridae","Biel/Bienne","BE","2020","Show (ancien)"
"Cupido alcetas  (Hoffmannsegg, 1804)","Lycaenidae","Biel/Bienne","BE","2020","Show (ancien)"
"Cupido argiades  (Pallas, 1771)","Lycaenidae","Biel/Bienne","BE","2019","Show (ancien)"
"Cupido minimus  (Fuessly, 1775)","Lycaenidae","Biel/Bienne","BE","2016","Show (ancien)"
"Cyaniris semiargus  (Rottemburg, 1775)","Lycaenidae","Biel/Bienne","BE","2015","Show (ancien)"
"Erebia aethiops  (Esper, 1777)","Nymphalidae","Biel/Bienne","BE","2002","Show (ancien)"
"Erebia ligea  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","1987","Show (ancien)"
"Erebia medusa  (Denis & Schiffermüller, 1775)","Nymphalidae","Biel/Bienne","BE","1985","Show (ancien)"
"Erebia meolans  (Prunner, 1798)","Nymphalidae","Biel/Bienne","BE","1895","Show (ancien)"
"Erynnis tages  (Linnaeus, 1758)","Hesperiidae","Biel/Bienne","BE","2016","Show (ancien)"
"Euphydryas aurinia aurinia (Rottemburg, 1775)","Nymphalidae","Biel/Bienne","BE","1919","Show (ancien)"
"Fabriciana adippe  (Denis & Schiffermüller, 1775)","Nymphalidae","Biel/Bienne","BE","2018","Show (ancien)"
"Fabriciana niobe  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","1945","Show (ancien)"
"Favonius quercus  (Linnaeus, 1758)","Lycaenidae","Biel/Bienne","BE","2018","Show (ancien)"
"Glaucopsyche alexis  (Poda, 1761)","Lycaenidae","Biel/Bienne","BE","1929","Show (ancien)"
"Gonepteryx rhamni  (Linnaeus, 1758)","Pieridae","Biel/Bienne","BE","2021","Show (ancien)"
"Hamearis lucina  (Linnaeus, 1758)","Lycaenidae","Biel/Bienne","BE","2018","Show (ancien)"
"Hesperia comma  (Linnaeus, 1758)","Hesperiidae","Biel/Bienne","BE","1985","Show (ancien)"
"Hipparchia fagi  (Scopoli, 1763)","Nymphalidae","Biel/Bienne","BE","1909","Show (ancien)"
"Hipparchia genava  (Fruhstorfer, 1908)","Nymphalidae","Biel/Bienne","BE","1907","Show (ancien)"
"Hipparchia semele  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","1909","Show (ancien)"
"Hyponephele lycaon  (Rottemburg, 1775)","Nymphalidae","Biel/Bienne","BE","1916","Show (ancien)"
"Iphiclides podalirius  (Linnaeus, 1758)","Papilionidae","Biel/Bienne","BE","2020","Show (ancien)"
"Issoria lathonia  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2018","Show (ancien)"
"Jordanita globulariae  (Hübner, 1793)","Zygaenidae","Biel/Bienne","BE","1905","Show (ancien)"
"Jordanita notata  (Zeller, 1847)","Zygaenidae","Biel/Bienne","BE","1915","Show (ancien)"
"Lampides boeticus  (Linnaeus, 1767)","Lycaenidae","Biel/Bienne","BE","2020","Show (ancien)"
"Lasiommata maera  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2007","Show (ancien)"
"Lasiommata megera  (Linnaeus, 1767)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Leptidea juvernica  Williams, 1946","Pieridae","Biel/Bienne","BE","1913","Show (ancien)"
"Leptidea sinapis  (Linnaeus, 1758)","Pieridae","Biel/Bienne","BE","2008","Show (ancien)"
"Leptidea sinapis aggr.","Pieridae","Biel/Bienne","BE","2019","Show (ancien)"
"Limenitis camilla  (Linnaeus, 1764)","Nymphalidae","Biel/Bienne","BE","2018","Show (ancien)"
"Limenitis populi  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","1897","Show (ancien)"
"Lycaena helle  (Denis & Schiffermüller, 1775)","Lycaenidae","Biel/Bienne","BE","1935","Show (ancien)"
"Lycaena hippothoe  (Linnaeus, 1761)","Lycaenidae","Biel/Bienne","BE","2011","Show (ancien)"
"Lycaena hippothoe euridice (Rottemburg, 1775)","Lycaenidae","Biel/Bienne","BE","1942","Show (ancien)"
"Lycaena phlaeas  (Linnaeus, 1761)","Lycaenidae","Biel/Bienne","BE","2021","Show (ancien)"
"Lycaena tityrus  (Poda, 1761)","Lycaenidae","Biel/Bienne","BE","2015","Show (ancien)"
"Lycaena tityrus tityrus (Poda, 1761)","Lycaenidae","Biel/Bienne","BE","2002","Show (ancien)"
"Lycaena virgaureae  (Linnaeus, 1758)","Lycaenidae","Biel/Bienne","BE","2008","Show (ancien)"
"Lysandra bellargus  (Rottemburg, 1775)","Lycaenidae","Biel/Bienne","BE","2020","Show (ancien)"
"Lysandra coridon  (Poda, 1761)","Lycaenidae","Biel/Bienne","BE","2015","Show (ancien)"
"Maniola jurtina  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Melanargia galathea  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Melitaea athalia aggr.","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Melitaea aurelia  Nickerl, 1850","Nymphalidae","Biel/Bienne","BE","1888","Show (ancien)"
"Melitaea celadussa  Fruhstorfer, 1910","Nymphalidae","Biel/Bienne","BE","2002","Show (ancien)"
"Melitaea cinxia  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2005","Show (ancien)"
"Melitaea diamina  (Lang, 1789)","Nymphalidae","Biel/Bienne","BE","1934","Show (ancien)"
"Melitaea didyma  (Esper, 1778)","Nymphalidae","Biel/Bienne","BE","1919","Show (ancien)"
"Melitaea parthenoides  Keferstein, 1851","Nymphalidae","Biel/Bienne","BE","1979","Show (ancien)"
"Melitaea phoebe  (Denis & Schiffermüller, 1775)","Nymphalidae","Biel/Bienne","BE","1877","Show (ancien)"
"Minois dryas  (Scopoli, 1763)","Nymphalidae","Biel/Bienne","BE","2012","Show (ancien)"
"Muschampia floccifera  (Zeller, 1847)","Hesperiidae","Biel/Bienne","BE","1910","Show (ancien)"
"Muschampia lavatherae  (Esper, 1783)","Hesperiidae","Biel/Bienne","BE","1952","Show (ancien)"
"Nymphalis antiopa  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2019","Show (ancien)"
"Nymphalis polychloros  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Ochlodes sylvanus  (Esper, 1778)","Hesperiidae","Biel/Bienne","BE","2020","Show (ancien)"
"Papilio machaon  Linnaeus, 1758","Papilionidae","Biel/Bienne","BE","2020","Show (ancien)"
"Pararge aegeria  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Parnassius apollo  (Linnaeus, 1758)","Papilionidae","Biel/Bienne","BE","2017","Show (ancien)"
"Phengaris alcon rebeli (Hirschke, 1904)","Lycaenidae","Biel/Bienne","BE","1993","Show (ancien)"
"Phengaris arion  (Linnaeus, 1758)","Lycaenidae","Biel/Bienne","BE","1911","Show (ancien)"
"Phengaris nausithous  (Bergsträsser, 1779)","Lycaenidae","Biel/Bienne","BE","1937","Show (ancien)"
"Phengaris teleius  (Bergsträsser, 1779)","Lycaenidae","Biel/Bienne","BE","1933","Show (ancien)"
"Pieris brassicae  (Linnaeus, 1758)","Pieridae","Biel/Bienne","BE","2018","Show (ancien)"
"Pieris mannii  (Mayer, 1851)","Pieridae","Biel/Bienne","BE","2017","Show (ancien)"
"Pieris napi  (Linnaeus, 1758)","Pieridae","Biel/Bienne","BE","2020","Show (ancien)"
"Pieris rapae  (Linnaeus, 1758)","Pieridae","Biel/Bienne","BE","2020","Show (ancien)"
"Polygonia c-album  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2021","Show (ancien)"
"Polyommatus dorylas  (Denis & Schiffermüller, 1775)","Lycaenidae","Biel/Bienne","BE","1987","Show (ancien)"
"Polyommatus icarus  (Rottemburg, 1775)","Lycaenidae","Biel/Bienne","BE","2019","Show (ancien)"
"Pontia edusa  (Fabricius, 1777)","Pieridae","Biel/Bienne","BE","1895","Show (ancien)"
"Pyrgus accreta  (Verity, 1925)","Hesperiidae","Biel/Bienne","BE","2011","Show (ancien)"
"Pyrgus armoricanus  (Oberthür, 1910)","Hesperiidae","Biel/Bienne","BE","2019","Show (ancien)"
"Pyrgus carthami  (Hübner, 1813)","Hesperiidae","Biel/Bienne","BE","1915","Show (ancien)"
"Pyrgus cirsii  (Rambur, 1839)","Hesperiidae","Biel/Bienne","BE","1958","Show (ancien)"
"Pyrgus malvae  (Linnaeus, 1758)","Hesperiidae","Biel/Bienne","BE","2004","Show (ancien)"
"Pyrgus serratulae  (Rambur, 1839)","Hesperiidae","Biel/Bienne","BE","1937","Show (ancien)"
"Rhagades pruni  (Denis & Schiffermüller, 1775)","Zygaenidae","Biel/Bienne","BE","2007","Show (ancien)"
"Satyrium acaciae  (Fabricius, 1787)","Lycaenidae","Biel/Bienne","BE","2007","Show (ancien)"
"Satyrium ilicis  (Esper, 1779)","Lycaenidae","Biel/Bienne","BE","1961","Show (ancien)"
"Satyrium pruni  (Linnaeus, 1758)","Lycaenidae","Biel/Bienne","BE","2009","Show (ancien)"
"Satyrium spini  (Denis & Schiffermüller, 1775)","Lycaenidae","Biel/Bienne","BE","2020","Show (ancien)"
"Satyrium w-album  (Knoch, 1782)","Lycaenidae","Biel/Bienne","BE","2020","Show (ancien)"
"Speyeria aglaja  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2015","Show (ancien)"
"Spialia sertorius  (Hoffmannsegg, 1804)","Hesperiidae","Biel/Bienne","BE","2016","Show (ancien)"
"Thecla betulae  (Linnaeus, 1758)","Lycaenidae","Biel/Bienne","BE","2019","Show (ancien)"
"Thymelicus lineola  (Ochsenheimer, 1808)","Hesperiidae","Biel/Bienne","BE","2015","Show (ancien)"
"Thymelicus sylvestris  (Poda, 1761)","Hesperiidae","Biel/Bienne","BE","2015","Show (ancien)"
"Vanessa atalanta  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Vanessa cardui  (Linnaeus, 1758)","Nymphalidae","Biel/Bienne","BE","2020","Show (ancien)"
"Zygaena carniolica  (Scopoli, 1763)","Zygaenidae","Biel/Bienne","BE","1958","Show (ancien)"
"Zygaena ephialtes  (Linnaeus, 1767)","Zygaenidae","Biel/Bienne","BE","2007","Show (ancien)"
"Zygaena fausta  (Linnaeus, 1767)","Zygaenidae","Biel/Bienne","BE","1939","Show (ancien)"
"Zygaena filipendulae  (Linnaeus, 1758)","Zygaenidae","Biel/Bienne","BE","2020","Show (ancien)"
"Zygaena lonicerae  (Scheven, 1777)","Zygaenidae","Biel/Bienne","BE","1987","Show (ancien)"
"Zygaena loti  (Denis & Schiffermüller, 1775)","Zygaenidae","Biel/Bienne","BE","1957","Show (ancien)"
"Zygaena minos  (Denis & Schiffermüller, 1775)","Zygaenidae","Biel/Bienne","BE","1940","Show (ancien)"
"Zygaena purpuralis  (Brünnich, 1763)","Zygaenidae","Biel/Bienne","BE","1940","Show (ancien)"
"Zygaena transalpina  (Esper, 1780)","Zygaenidae","Biel/Bienne","BE","2015","Show (ancien)"
"Zygaena trifolii  (Esper, 1783)","Zygaenidae","Biel/Bienne","BE","1929","Show (ancien)"
"Zygaena viciae  (Denis & Schiffermüller, 1775)","Zygaenidae","Biel/Bienne","BE","1952","Show (ancien)"
