"Species","Family","Municipality","Canton","Last year","Map"
"Andrena agilissima  (Scopoli, 1770)","Andreninae","Biel/Bienne","BE","1889","Show (ancien)"
"Andrena bicolor  Fabricius, 1775","Andreninae","Biel/Bienne","BE","2016","Show (ancien)"
"Andrena bucephala  Stephens, 1846","Andreninae","Biel/Bienne","BE","1922","Show (ancien)"
"Andrena carantonica  Pérez, 1902","Andreninae","Biel/Bienne","BE","1993","Show (ancien)"
"Andrena combinata  (Christ, 1791)","Andreninae","Biel/Bienne","BE","1915","Show (ancien)"
"Andrena confinis  E. Stoeckhert, 1930","Andreninae","Biel/Bienne","BE","1922","Show (ancien)"
"Andrena congruens  Schmiedeknecht, 1883","Andreninae","Biel/Bienne","BE","1887","Show (ancien)"
"Andrena curvungula  Thomson, 1870","Andreninae","Biel/Bienne","BE","1928","Show (ancien)"
"Andrena falsifica  Perkins, 1915","Andreninae","Biel/Bienne","BE","1921","Show (ancien)"
"Andrena flavipes  Panzer, 1799","Andreninae","Biel/Bienne","BE","1922","Show (ancien)"
"Andrena florea  Fabricius, 1793","Andreninae","Biel/Bienne","BE","2020","Show (ancien)"
"Andrena fulva  (Müller, 1766)","Andreninae","Biel/Bienne","BE","1887","Show (ancien)"
"Andrena fulvago  (Christ, 1791)","Andreninae","Biel/Bienne","BE","2016","Show (ancien)"
"Andrena gelriae  Van der Vecht, 1927","Andreninae","Biel/Bienne","BE","1905","Show (ancien)"
"Andrena gravida  Imhoff, 1832","Andreninae","Biel/Bienne","BE","2020","Show (ancien)"
"Andrena haemorrhoa  (Fabricius, 1781)","Andreninae","Biel/Bienne","BE","1922","Show (ancien)"
"Andrena hattorfiana  (Fabricius, 1775)","Andreninae","Biel/Bienne","BE","1885","Show (ancien)"
"Andrena helvola  (Linnaeus, 1758)","Andreninae","Biel/Bienne","BE","2020","Show (ancien)"
"Andrena humilis  Imhoff, 1832","Andreninae","Biel/Bienne","BE","1929","Show (ancien)"
"Andrena labialis  (Kirby, 1802)","Andreninae","Biel/Bienne","BE","1886","Show (ancien)"
"Andrena labiata  Fabricius, 1781","Andreninae","Biel/Bienne","BE","1914","Show (ancien)"
"Andrena lathyri  Alfken, 1899","Andreninae","Biel/Bienne","BE","2016","Show (ancien)"
"Andrena minutula  (Kirby, 1802)","Andreninae","Biel/Bienne","BE","1993","Show (ancien)"
"Andrena minutuloides  Perkins, 1914","Andreninae","Biel/Bienne","BE","2016","Show (ancien)"
"Andrena nigroaenea  (Kirby, 1802)","Andreninae","Biel/Bienne","BE","1915","Show (ancien)"
"Andrena nitida  (Müller, 1776)","Andreninae","Biel/Bienne","BE","1993","Show (ancien)"
"Andrena ovatula  (Kirby, 1802)","Andreninae","Biel/Bienne","BE","1927","Show (ancien)"
"Andrena potentillae  Panzer, 1809","Andreninae","Biel/Bienne","BE","1921","Show (ancien)"
"Andrena propinqua  (Schenck, 1853)","Andreninae","Biel/Bienne","BE","1922","Show (ancien)"
"Andrena proxima  (Kirby, 1802)","Andreninae","Biel/Bienne","BE","2016","Show (ancien)"
"Andrena rosae  Panzer, 1801","Andreninae","Biel/Bienne","BE","1922","Show (ancien)"
"Andrena schencki  Morawitz, 1866","Andreninae","Biel/Bienne","BE","1889","Show (ancien)"
"Andrena similis  Smith, 1849","Andreninae","Biel/Bienne","BE","1882","Show (ancien)"
"Andrena strohmella  Stoeckhert, 1928","Andreninae","Biel/Bienne","BE","1986","Show (ancien)"
"Andrena subopaca  Nylander, 1848","Andreninae","Biel/Bienne","BE","1993","Show (ancien)"
"Andrena wilkella  (Kirby, 1802)","Andreninae","Biel/Bienne","BE","1993","Show (ancien)"
"Anthidium manicatum  (Linnaeus, 1758)","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Anthidium oblongatum  (Illiger, 1806)","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Anthidium punctatum  Latreille, 1809","Megachilinae","Biel/Bienne","BE","1993","Show (ancien)"
"Anthidium septemdentatum  (Latreille, 1809)","Megachilinae","Biel/Bienne","BE","1896","Show (ancien)"
"Anthophora aestivalis  (Panzer, 1801)","Anthophorinae","Biel/Bienne","BE","1896","Show (ancien)"
"Anthophora plumipes  (Pallas, 1772)","Anthophorinae","Biel/Bienne","BE","2016","Show (ancien)"
"Bombus campestris  (Panzer, 1801)","Apidae","Biel/Bienne","BE","1956","Show (ancien)"
"Bombus hortorum  (Linnaeus, 1760)","Apidae","Biel/Bienne","BE","1957","Show (ancien)"
"Bombus humilis  Illiger, 1806","Apidae","Biel/Bienne","BE","1891","Show (ancien)"
"Bombus hypnorum  (Linnaeus, 1758)","Apidae","Biel/Bienne","BE","1956","Show (ancien)"
"Bombus lapidarius  (Linnaeus, 1758)","Apidae","Biel/Bienne","BE","1982","Show (ancien)"
"Bombus pascuorum  (Scopoli, 1763)","Apidae","Biel/Bienne","BE","2001","Show (ancien)"
"Bombus pomorum  (Panzer, 1805)","Apidae","Biel/Bienne","BE","1887","Show (ancien)"
"Bombus pratorum  (Linnaeus, 1760)","Apidae","Biel/Bienne","BE","1887","Show (ancien)"
"Bombus terrestris  (Linnaeus, 1758)","Apidae","Biel/Bienne","BE","1888","Show (ancien)"
"Bombus terrestris aggr.","Apidae","Biel/Bienne","BE","2016","Show (ancien)"
"Ceratina cucurbitina  (Rossi, 1792)","Anthophorinae","Biel/Bienne","BE","2016","Show (ancien)"
"Ceratina cyanea  (Kirby, 1802)","Anthophorinae","Biel/Bienne","BE","2016","Show (ancien)"
"Chelostoma florisomne  (Linnaeus, 1758)","Megachilinae","Biel/Bienne","BE","2016","Show (ancien)"
"Chelostoma rapunculi  (Lepeletier, 1841)","Megachilinae","Biel/Bienne","BE","1885","Show (ancien)"
"Coelioxys aurolimbata  Förster, 1853","Megachilinae","Biel/Bienne","BE","1885","Show (ancien)"
