species_slug,BL,WL,under_sampled,red_list,gbif,lists
abies-alba,0,0,0,1,1,['red_list' 'gbif']
abies-nordmanniana,0,0,0,0,1,['gbif']
abutilon-theophrasti,1,0,0,0,1,['BL' 'gbif']
acacia-dealbata,0,1,0,0,1,['WL' 'gbif']
acalypha-australis,0,0,0,0,1,['gbif']
acalypha-virginica,0,0,0,0,1,['gbif']
acanthus-mollis,0,0,0,0,1,['gbif']
acer-campestre,0,0,0,1,1,['red_list' 'gbif']
acer-monspessulanum,0,0,0,0,1,['gbif']
acer-negundo,0,0,0,0,1,['gbif']
acer-opalus,0,0,0,1,1,['red_list' 'gbif']
acer-platanoides,0,0,0,1,1,['red_list' 'gbif']
acer-pseudoplatanus,0,0,0,1,1,['red_list' 'gbif']
acer-saccharinum,0,0,0,0,1,['gbif']
aceras-anthropophorum,0,0,0,1,0,['red_list']
achillea-ageratum,0,0,0,0,1,['gbif']
achillea-atrata,0,0,0,1,1,['red_list' 'gbif']
achillea-clavenae,0,0,0,1,0,['red_list']
achillea-clavennae,0,0,0,0,1,['gbif']
achillea-collina,0,0,0,1,1,['red_list' 'gbif']
achillea-crithmifolia,0,0,0,0,1,['gbif']
achillea-distans,0,0,0,0,2,['gbif']
achillea-erba-rotta,0,0,0,1,3,['red_list' 'gbif']
achillea-filipendulina,0,0,0,0,1,['gbif']
achillea-macrophylla,0,0,0,1,1,['red_list' 'gbif']
achillea-millefolium,0,0,0,2,3,['red_list' 'gbif']
achillea-nana,0,0,0,1,1,['red_list' 'gbif']
achillea-nobilis,0,0,0,1,2,['red_list' 'gbif']
achillea-pratensis,0,0,0,1,1,['red_list' 'gbif']
achillea-ptarmica,0,0,0,1,1,['red_list' 'gbif']
achillea-roseo-alba,0,0,0,0,1,['gbif']
achillea-roseoalba,0,0,1,1,0,['under_sampled' 'red_list']
achillea-setacea,0,0,0,1,1,['red_list' 'gbif']
achillea-stricta,0,0,1,1,0,['under_sampled' 'red_list']
achillea-tomentosa,0,0,0,1,1,['red_list' 'gbif']
achnatherum-calamagrostis,0,0,0,1,1,['red_list' 'gbif']
acinos-alpinus,0,0,0,1,0,['red_list']
acinos-arvensis,0,0,0,1,0,['red_list']
aconitum-anthora,0,0,0,1,1,['red_list' 'gbif']
aconitum-degenii,0,0,0,0,1,['gbif']
aconitum-lycoctonum,0,0,2,3,3,['under_sampled' 'red_list' 'gbif']
aconitum-napellus,0,0,0,4,0,['red_list']
aconitum-tauricum,0,0,0,0,1,['gbif']
aconitum-variegatum,0,0,1,5,3,['under_sampled' 'red_list' 'gbif']
acorus-calamus,0,0,0,0,1,['gbif']
actaea-spicata,0,0,0,1,1,['red_list' 'gbif']
actinidia-chinensis,0,0,0,0,1,['gbif']
adenophora-liliifolia,0,0,0,1,1,['red_list' 'gbif']
adenostyles-alliariae,0,0,0,1,1,['red_list' 'gbif']
adenostyles-alpina,0,0,0,1,1,['red_list' 'gbif']
adenostyles-leucophylla,0,0,0,1,1,['red_list' 'gbif']
adiantum-capillus-veneris,0,0,0,1,1,['red_list' 'gbif']
adonis-aestivalis,0,0,0,1,1,['red_list' 'gbif']
adonis-annua,0,0,0,0,1,['gbif']
adonis-flammea,0,0,0,1,1,['red_list' 'gbif']
adonis-vernalis,0,0,0,1,1,['red_list' 'gbif']
adoxa-moschatellina,0,0,0,1,1,['red_list' 'gbif']
aegilops-cylindrica,0,0,0,0,1,['gbif']
aegilops-geniculata,0,0,0,0,1,['gbif']
aegonychon-purpurocaeruleum,0,0,0,0,1,['gbif']
aegopodium-podagraria,0,0,0,1,1,['red_list' 'gbif']
aesculus-hippocastanum,0,0,0,0,1,['gbif']
aethionema-saxatile,0,0,0,1,1,['red_list' 'gbif']
aethusa-cynapioides,0,0,0,1,0,['red_list']
aethusa-cynapium,0,0,0,1,2,['red_list' 'gbif']
agave-americana,0,0,0,0,1,['gbif']
agrimonia-eupatoria,0,0,0,1,1,['red_list' 'gbif']
agrimonia-procera,0,0,0,1,1,['red_list' 'gbif']
agropyron-cristatum,0,0,0,0,2,['gbif']
agrostemma-githago,0,0,0,1,1,['red_list' 'gbif']
agrostis-agrostiflora,0,0,0,0,1,['gbif']
agrostis-alpina,0,0,0,1,1,['red_list' 'gbif']
agrostis-canina,0,0,0,1,1,['red_list' 'gbif']
agrostis-capillaris,0,0,0,1,1,['red_list' 'gbif']
agrostis-gigantea,0,0,0,1,1,['red_list' 'gbif']
agrostis-rupestris,0,0,0,1,1,['red_list' 'gbif']
agrostis-schleicheri,0,0,1,1,1,['under_sampled' 'red_list' 'gbif']
agrostis-schraderiana,0,0,0,1,0,['red_list']
agrostis-stolonifera,0,0,0,1,1,['red_list' 'gbif']
agrostis-vinealis,0,0,0,1,1,['red_list' 'gbif']
ailanthus-altissima,1,0,0,0,1,['BL' 'gbif']
aira-caryophyllea,0,0,0,1,2,['red_list' 'gbif']
aira-elegans,0,0,0,0,1,['gbif']
aira-elegantissima,0,0,0,1,0,['red_list']
