place,date,genus_species,time,species_slug,place_slug
alleestrasse 1,2020-09-02,plantago lanceolata,11:09:04 AM,plantago-lanceolata,alleestrasse-1
alleestrasse 1,2020-09-02,centaurea nigra,11:08:19 AM,centaurea-nigra,alleestrasse-1
alleestrasse 1,2020-09-02,plantago media,11:06:59 AM,plantago-media,alleestrasse-1
alleestrasse 1,2020-09-02,chenopodium album agg.,11:06:05 AM,chenopodium-album,alleestrasse-1
alleestrasse 1,2020-09-02,centaurea jacea agg.,11:05:18 AM,centaurea-jacea,alleestrasse-1
alleestrasse 1,2020-09-02,veronica persica,11:02:44 AM,veronica-persica,alleestrasse-1
alleestrasse 1,2020-09-02,geranium pyrenaicum,11:00:32 AM,geranium-pyrenaicum,alleestrasse-1
alleestrasse 1,2020-07-28,centaurea jacea agg.,10:18:22,centaurea-jacea,alleestrasse-1
alleestrasse 1,2020-07-28,daucus carota,10:15:25,daucus-carota,alleestrasse-1
alleestrasse 1,2020-07-28,centaurea jacea agg.,10:12:44,centaurea-jacea,alleestrasse-1
alleestrasse 2,2020-07-31,mentha spicata agg.,10:41:57,mentha-spicata,alleestrasse-2
alleestrasse 2,2020-07-31,pastinaca sativa,10:36:21,pastinaca-sativa,alleestrasse-2
alleestrasse 2,2020-07-31,galium mollugo agg.,10:34:12,galium-mollugo,alleestrasse-2
alleestrasse 2,2020-07-31,trifolium pratense,10:32:28,trifolium-pratense,alleestrasse-2
alleestrasse 2,2020-07-31,daucus carota,10:29:38,daucus-carota,alleestrasse-2
alleestrasse 3,2020-06-16,achillea millefolium agg.,,achillea-millefolium,alleestrasse-3
alleestrasse 3,2020-06-16,sedum album,,sedum-album,alleestrasse-3
alleestrasse 3,2020-06-16,chaerophyllum hirsutum,,chaerophyllum-hirsutum,alleestrasse-3
alleestrasse 3,2020-06-16,erigeron annuus,,erigeron-annuus,alleestrasse-3
alleestrasse 3,2020-07-31,epilobium hirsutum,10:44:13,epilobium-hirsutum,alleestrasse-3
