Latin,French,Jura,Plateau,Versant Nord des Alpes,Alpes centrales Ouest,Alpes centrales Est,Versant Sud des Alpes,non établi en Suisse,1 Eau1 libres,2 Rivages et lieu humides,"3 Glaciers, rochers, éboulis et moraines",4 Pelouses et prairies,"5 Landes, lisières et mégaphorbiaies",6 Forêts,7 Végétations pionnières des endroits perturbés,"8 Plantations, champs, cultures",9 Milieu1 construits,Potentiel d'e1pansion,santé,"écologie, biodiversité",économie,"Präventionscharakter (hoch=1, mittel=2, gering=3)","Regionale Wichtigkeit (hoch=1, mittel=2, gering=3)","Lack List / Watch List ""old""",list_2014,Ordonnonce sur la dissémination des organismes (ODE)
Abutilon theophrasti Medik.,Abutilon de Théophraste,1,1,1,,,1,,,,,,,,1,1,1,3,o,1,3,2,2,-,BL,-
Ailanthus altissima (Mill.) Swingle,Ailante,2,3,1,2,1,3,,,,,,1,1,1,,1,3,1,2,2,3,3,BL,BL,-
Ambrosia artemisiifolia L.,Ambroisie à feuilles d'armoise,3,3,1,2,1,3,,,,,,,,1,1,1,3,3,-1,3,3,2,BL,BL,ODE
Amorpha fruticosa L.,Amorphe buissonnante,1,-1,,,,2,,,,,,1,1,1,,,3,o,3,2,1,1,WL,BL,-
Artemisia verlotiorum Lamotte,Armoise des frères Verlot,2,3,2,2,1,3,,,,,,,1,1,1,1,3,1(?),2,2,3,3,BL,BL,-
Asclepias syriaca L.,Asclépiade de Syrie,1,1,,,,2,,,,,,,,1,1,1,3,o,3,3,1,1,WL,BL,-
Buddleja davidii Franch.,Buddléia de David,3,3,3,2,2,3,,,1,,,1,1,1,1,1,3,o,3,1,3,3,BL,BL,-
Bunias orientalis L.,Bunias d'Orient,3,2,,3,2,1,,,,,1,,,1,,1,3,1,2,3,2,2,WL,BL,-
Cabomba caroliniana A. Gray,"Cabomba, Evantail de Caroline",,,,,,,1,1,,,,,,,,,3,o,3,3,1,,-,BL,-
Crassula helmsii (Kirk) Cockayne,Crassule de Helm,,,,,,,1,1,,,,,,,,,3,o,3,3,1,,-,BL,ODE
Cyperus esculentus L.,Souchet comestible,1,2,,,,3,,,,,1,,,1,1,,3,o,o,3,2,2,WL,BL,-
Echinocystis lobata (Mich1.) Torr. & A. Gray,"Concombre sauvage, C. piquant",,,,,,,1,,1,,,1,1,1,1,,3,o,3,2,1,,-,BL,-
Elodea canadensis Mich1.,Elodée du Canada,3,3,2,1,1,1,,1,,,,,,,,,2,o,3,3,3,3,BL,BL,-
Elodea nuttallii (Planch.) H. St. John,Elodée de Nuttall,1,3,1,,,1,,1,,,,,,,,,3,o,3,3,3,3,BL,BL,ODE
Erigeron annuus (L.) Desf. s.l.,Vergerette annuelle,3,3,2,2,2,3,,,,,1,,,1,1,1,3 (?),o,3,2,3,3,WL,BL,-
Heracleum mantegazzianum Sommier & Levier,Berce du Caucase,3,3,3,3,2,3,,,1,,,1,1,1,,1,2,3,3,2,3,3,BL,BL,ODE
Hydrocotyle ranunculoides L. f.,Hydrocotyle fausse-renoncule,,,,,,,1,1,1,,,,,,,,3,o,3,3,1,,-,BL,ODE
Impatiens glandulifera Royle,Impatiente glanduleuse,3,3,2,1,1,3,,,,,,1,1,1,,,3,o,3,2,3,3,BL,BL,ODE
Lonicera henryi Hemsl.,Chèvrefeuille de Henry,,2,,,,,,,,,,,1,,,,3,o,3,2,1,1,WL,BL,-
Lonicera japonica Thunb.,Chèvrefeuille du Japon,1,2,,1,,3,,,,,,1,1,,,,3,o,3,3,1,2,BL,BL,-
Ludwigia grandiflora (Mich1.) Greuter & Burdet,Jussie à grandes fleurs,,-1,,,,,1,1,,,,,,,,,3,o,3,3,1,,BL,BL,ODE
Ludwigia peploides (Kunth)  P. H. Raven,Jussie rampante,,,,,,,1,1,,,,,,,,,3,o,3,3,1,,-,BL,ODE
Lupinus polyphyllus Lindl.,Lupin à folioles nombreuses,1,1,2,2,1,1,,,,,1,1,1,,,,3,o,3,2,2,3,WL,BL,-
Myriophyllum aquaticum (Vell.) Verdc.,Myriophylle aquatique,1,-1,,,,,,1,,,,,,,,,3 (?),o,3,3,1,3,-,BL,-
Polygonum polystachyum Meisn.,Renouée à épis nombreu1,1,2,,1,1,2,,,,,,1,,1,,,3,o,3,3,2,3,BL,BL,ODE
Prunus laurocerasus L.,Laurier-cerise,2,3,,,,3,,,,,,,1,,,,3,2,3,2,3,3,BL,BL,-
