No ISFS,Full Name,Short Name,Family,"200 Bellis","400 Iris","600 Dryas",Indigenat,"F value","R value","N value"
100,Abies alba Mill.,Abies alba,Pinaceae,*,*,*,I,4,3,3
300,Acer campestre L.,Acer campestre,Sapindaceae,*,*,*,I,2.5,3,3
600,Acer opalus Mill.,Acer opalus,Sapindaceae,,,*,I,2,4,3
700,Acer platanoides L.,Acer platanoides,Sapindaceae,*,*,*,I,3,4,3
800,Acer pseudoplatanus L.,Acer pseudoplatanus,Sapindaceae,*,*,*,I,3.5,3,3
1000,Achillea atrata L.,Achillea atrata,Asteraceae,,,*,I,3,5,2
1500,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Achillea erba-rotta subsp. moschata,Asteraceae,,,*,I,3,2,2
1600,Achillea macrophylla L.,Achillea macrophylla,Asteraceae,,,*,I,3,3,4
1700,Achillea millefolium L.,Achillea millefolium,Asteraceae,*,*,*,I,2,3,3
2800,Acinos alpinus (L.) Moench,Acinos alpinus,Lamiaceae,,,*,I,2,3,2
3510,Aconitum lycoctonum L.,Aconitum lycoctonum,Ranunculaceae,,*,*,I,4,4,4
3540,Aconitum napellus L.,Aconitum napellus,Ranunculaceae,,*,*,I,x,3,4
5400,Adenostyles alliariae (Gouan) A. Kern.,Adenostyles alliariae,Asteraceae,,*,*,I,3.5,3,4
5450,Adenostyles alpina (L.) Bluff & Fingerh.,Adenostyles alpina,Asteraceae,,*,*,I,3.5,5,3
6800,Aegopodium podagraria L.,Aegopodium podagraria,Apiaceae,*,*,*,I,3.5,3,4
8600,Agrostis capillaris L.,Agrostis capillaris,Poaceae,,*,*,I,2.5,2,2
9300,Agrostis stolonifera L.,Agrostis stolonifera,Poaceae,,*,*,I,4,4,4
10300,Ajuga pyramidalis L.,Ajuga pyramidalis,Lamiaceae,,,*,I,3,2,2
10400,Ajuga reptans L.,Ajuga reptans,Lamiaceae,*,*,*,I,3,3,3
18100,Alchemilla pentaphyllea L.,Alchemilla pentaphyllea,Rosaceae,,,*,I,4,2,3
22100,Alliaria petiolata (M. Bieb.) Cavara & Grande,Alliaria petiolata,Brassicaceae,*,*,*,I,3.5,4,5
24200,Allium schoenoprasum L.,Allium schoenoprasum,Amaryllidaceae,,,*,I,4,4,3
24800,Allium ursinum L.,Allium ursinum,Amaryllidaceae,*,*,*,I,4,4,3
25200,Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,Betulaceae,*,*,*,I,4.5,3,4
25300,Alnus incana (L.) Moench,Alnus incana,Betulaceae,*,*,*,I,4,4,4
25400,Alnus viridis (Chaix) DC.,Alnus viridis,Betulaceae,,,*,I,4,2,4
26000,Alopecurus pratensis L.,Alopecurus pratensis,Poaceae,*,*,*,I,3.5,3,4
29300,Amelanchier ovalis Medik.,Amelanchier ovalis,Rosaceae,,*,*,I,2,4,2
29700,Anagallis arvensis L.,Anagallis arvensis,Primulaceae,,*,*,ARCH,3,3,3
31300,Androsace alpina (L.) Lam.,Androsace alpina,Primulaceae,,,*,I,4,2,1
31800,Androsace chamaejasme Wulfen,Androsace chamaejasme,Primulaceae,,,*,I,2,5,2
32100,Androsace helvetica (L.) All.,Androsace helvetica,Primulaceae,,,*,I,1.5,5,1
32400,Androsace obtusifolia All.,Androsace obtusifolia,Primulaceae,,,*,I,2.5,2,2
33600,Anemone nemorosa L.,Anemone nemorosa,Ranunculaceae,*,*,*,I,3,x,3
34400,Antennaria dioica (L.) Gaertn.,Antennaria dioica,Asteraceae,,,*,I,2,2,2
35100,Anthericum liliago L.,Anthericum liliago,Asparagaceae,,*,*,I,1.5,3,2
35400,Anthoxanthum odoratum L.,Anthoxanthum odoratum,Poaceae,*,*,*,I,3,2,2
35900,Anthriscus sylvestris (L.) Hoffm.,Anthriscus sylvestris,Apiaceae,*,*,*,I,3,3,4
36790,Anthyllis vulneraria L.,Anthyllis vulneraria,Fabaceae,*,*,*,I/NEO,1.5,x,2
39100,Aquilegia vulgaris L.,Aquilegia vulgaris,Ranunculaceae,,*,*,I,3,4,3
39200,Arabidopsis thaliana (L.) Heynh.,Arabidopsis thaliana,Brassicaceae,*,*,*,I,2,3,3
39350,Arabis alpina L.,Arabis alpina,Brassicaceae,,,*,I,3,5,2
42200,Arctium lappa L.,Arctium lappa,Asteraceae,,,*,I,2.5,4,5
