species_slug,BL,WL,under_sampled,red_list,cert_list,lists
abies-alba,0,0,0,1,1,['red_list' 'cert_list']
abutilon-theophrasti,1,0,0,0,0,['BL']
acacia-dealbata,0,1,0,0,0,['WL']
acer-campestre,0,0,0,1,1,['red_list' 'cert_list']
acer-opalus,0,0,0,1,1,['red_list' 'cert_list']
acer-platanoides,0,0,0,1,1,['red_list' 'cert_list']
acer-pseudoplatanus,0,0,0,1,1,['red_list' 'cert_list']
aceras-anthropophorum,0,0,0,1,0,['red_list']
achillea-atrata,0,0,0,1,1,['red_list' 'cert_list']
achillea-clavenae,0,0,0,1,0,['red_list']
achillea-collina,0,0,0,1,0,['red_list']
achillea-erba-rotta,0,0,0,1,1,['red_list' 'cert_list']
achillea-macrophylla,0,0,0,1,1,['red_list' 'cert_list']
achillea-millefolium,0,0,0,2,1,['red_list' 'cert_list']
achillea-nana,0,0,0,1,0,['red_list']
achillea-nobilis,0,0,0,1,0,['red_list']
achillea-pratensis,0,0,0,1,0,['red_list']
achillea-ptarmica,0,0,0,1,0,['red_list']
achillea-roseoalba,0,0,1,1,0,['under_sampled' 'red_list']
achillea-setacea,0,0,0,1,0,['red_list']
achillea-stricta,0,0,1,1,0,['under_sampled' 'red_list']
achillea-tomentosa,0,0,0,1,0,['red_list']
achnatherum-calamagrostis,0,0,0,1,0,['red_list']
acinos-alpinus,0,0,0,1,1,['red_list' 'cert_list']
acinos-arvensis,0,0,0,1,0,['red_list']
aconitum-anthora,0,0,0,1,0,['red_list']
aconitum-lycoctonum,0,0,2,3,1,['under_sampled' 'red_list' 'cert_list']
aconitum-napellus,0,0,0,4,1,['red_list' 'cert_list']
aconitum-variegatum,0,0,1,5,0,['under_sampled' 'red_list']
actaea-spicata,0,0,0,1,0,['red_list']
adenophora-liliifolia,0,0,0,1,0,['red_list']
adenostyles-alliariae,0,0,0,1,1,['red_list' 'cert_list']
adenostyles-alpina,0,0,0,1,1,['red_list' 'cert_list']
adenostyles-leucophylla,0,0,0,1,0,['red_list']
adiantum-capillus-veneris,0,0,0,1,0,['red_list']
adonis-aestivalis,0,0,0,1,0,['red_list']
adonis-flammea,0,0,0,1,0,['red_list']
adonis-vernalis,0,0,0,1,0,['red_list']
adoxa-moschatellina,0,0,0,1,0,['red_list']
aegopodium-podagraria,0,0,0,1,1,['red_list' 'cert_list']
aethionema-saxatile,0,0,0,1,0,['red_list']
aethusa-cynapioides,0,0,0,1,0,['red_list']
aethusa-cynapium,0,0,0,1,0,['red_list']
agrimonia-eupatoria,0,0,0,1,0,['red_list']
agrimonia-procera,0,0,0,1,0,['red_list']
agrostemma-githago,0,0,0,1,0,['red_list']
agrostis-alpina,0,0,0,1,0,['red_list']
agrostis-canina,0,0,0,1,0,['red_list']
agrostis-capillaris,0,0,0,1,1,['red_list' 'cert_list']
agrostis-gigantea,0,0,0,1,0,['red_list']
agrostis-rupestris,0,0,0,1,0,['red_list']
agrostis-schleicheri,0,0,1,1,0,['under_sampled' 'red_list']
agrostis-schraderiana,0,0,0,1,0,['red_list']
agrostis-stolonifera,0,0,0,1,1,['red_list' 'cert_list']
agrostis-vinealis,0,0,0,1,0,['red_list']
ailanthus-altissima,1,0,0,0,0,['BL']
aira-caryophyllea,0,0,0,1,0,['red_list']
