date,place,feature,number,casual,transect,species,quantity,confidence,no_flowers,notes
03-04-2021,zukunftstrasse,box,1,,,Viburnum farreri,2,2,,
03-04-2021,zukunftstrasse,box,1,,,Quercus suber,1,1,,
03-04-2021,zukunftstrasse,box,1,,,Prunus avium,1,0,,
03-04-2021,zukunftstrasse,box,2,,,Viburnum farreri,2,2,,
03-04-2021,zukunftstrasse,box,2,,,Quercus suber,1,1,,
03-04-2021,zukunftstrasse,box,2,,,Prunus avium,1,0,,
03-04-2021,zukunftstrasse,box,3,,,Viburnum farreri,2,2,,
03-04-2021,zukunftstrasse,box,3,,,Quercus suber,1,1,,
03-04-2021,zukunftstrasse,box,3,,,Prunus avium,1,0,,
03-04-2021,zukunftstrasse,box,4,,,Narcissus jonquillium,5,2,,
03-04-2021,zukunftstrasse,box,4,,,Viburnum farreri,2,2,,
03-04-2021,zukunftstrasse,box,5,,,Viburnum farreri,2,2,,
03-04-2021,zukunftstrasse,box,5,,,Narcissus jonquillium,5,2,,
03-04-2021,zukunftstrasse,box,6,,,Viburnum farreri,2,2,,
03-04-2021,zukunftstrasse,box,6,,,Narcissus jonquillium,5,2,,
03-04-2021,zukunftstrasse,box,7,,,Viburnum farreri,1,2,,
03-04-2021,zukunftstrasse,box,7,,,Narcissus jonquillium,5,2,,
05-04-2021,zukunftstrasse,box,8,,,Narcissus jonquillium,5,2,,
05-04-2021,zukunftstrasse,box,8,,,Viburnum farreri,1,2,,
05-04-2021,zukunftstrasse,box,8,,,Prunus avium,1,0,,
05-04-2021,zukunftstrasse,box,8,,,Quercus suber,1,1,,
05-04-2021,zukunftstrasse,box,9,,,Narcissus jonquillium,5,2,,
05-04-2021,zukunftstrasse,box,9,,,Viburnum farreri,2,2,,
05-04-2021,zukunftstrasse,box,10,,,Narcissus jonquillium,5,3,,
05-04-2021,zukunftstrasse,box,10,,,Viburnum farreri,2,3,,
05-04-2021,zukunftstrasse,box,12,,,Capsella bursa-pastoris,,1,,
05-04-2021,zukunftstrasse,box,12,,,Cardamine hirsuta,,1,,
05-04-2021,schneidergäassli,area,1,,,lamium purpureum,1 patch,2,,close to border w/ future area 2
05-04-2021,schneidergäassli,area,1,,,Ranunculus ficaria,Signficiant % of cover,2,,
05-04-2021,schneidergäassli,area,1,,,Glechoma hederacea,scattered,2,,
05-04-2021,schneidergäassli,area,1,,,Veronica hederifolia,scattered,1,,
05-04-2021,schneidergäassli,area,1,,,Corydalus cava,Signficiant % of cover,2,,
05-04-2021,schneidergäassli,area,1,,,Senecio vulgaris,few,2,,
05-04-2021,schneidergäassli,area,1,,,Cardamine flexuosa,few,2,,
05-04-2021,schneidergäassli,area,1,,,Cornus mas,several,2,,half of back hedgerow delimiting green space
05-04-2021,schneidergäassli,area,1,,,Salix,1,0,,
04-04-2021,Blumenrain,area,1,,,Corydalus cava,Signficiant % of cover,2,,
04-04-2021,Blumenrain,area,1,,,Anemone nemorosa,1 patch,2,,
04-04-2021,Blumenrain,area,1,,,Bellis perennis,scattered,2,,
04-04-2021,Blumenrain,area,1,,,Forsythia x intermedia,1 patch,2,,
04-04-2021,Blumenrain,area,1,,,viola odorata,scattered,2,,
04-04-2021,Blumenrain,area,1,,,Veronica hederifolia,scattered,1,,
04-04-2021,Blumenrain,area,1,,,Potentilla sterilis,scattered,1,,
04-04-2021,Blumenrain,area,1,,,Primula acaulis,scattered,1,,
