name;list;Germination status;origin-pub;origin-priv;Year;Amount
Anthericum racimosum;Felseck;easy;x;;;
Aquilegia vulgaris;Felseck;easy;biel;;;
Aster amellus;Felseck;hard;x;;;
Aster linosyrus;Felseck;hard;ticino;;;
Centaurea montana;Felseck;easy;magglingen;;;
Centaurea scabiosa;Felseck;hard;biel;;;
Cichorium intybus;Felseck;easy;biel;;;
Campanula rotundifolia;Felseck;hard;biel;;;
Campanula perscifolia;Felseck;easy;x;;;
Dianthus carthusianorum;Felseck;hard;biel;;;
Dianthus superbus;Felseck;hard;;;;
Dianthus sylvestris;Felseck-bonus;unknown;;;;
Epilobium dodonaei;Felseck;hard;;;;
Euphorbia cyparissias;Felseck;hard;;;;
geranium sanguineum;Felseck;easy;;;;
geraium sylvaticum;Felseck;easy;;;;
hypericum perforatum;Felseck;hard;;;;
helianthemum nummularium;Felseck;hard;;;;
lathyrus vernus;Felseck;hard;;;;
origanum vulgare;Felseck;easy;;;;
Primula veris;Felseck;hard;;;;
Scabiosa columbaria;Felseck;hard;;;;
Silene dioica;Felseck;easy;La Chaux de Fonds;;2021;
Saponaria ocymoides;Felseck;hard;;;;
verbascum nigrum;Felseck;easy;;;;
thymus pugleoides;Felseck;hard;;;;
teucrium montanum;Felseck;unknown;;;;
teucrium chamaedrys;Felseck;hard;;;;
Sedum telephium;Felseck;unknown;;;;
sedum album;Felseck;unknown;;;;
Verbascum lychnitis;Felseck-bonus;unknown;;;;
valeriana officinalis;Felseck;unknown;;;;
Silene nutans;Felseck-bonus;unknown;;;;
Silene flos cuculi;Felseck-bonus;unknown;;;;
Sanguisorba officinalis;Felseck-bonus;unknown;;;;
Papaver somniferum;Felseck-bonus;unknown;;;;
potentilla recta;Felseck-bonus;unkonwn;;;;
Valeriana officinalis;volo-old;unkonwn;;;;
Levisticum officinale;volo-old;unkonwn;;;;
Leucanthemum vulgare;volo-old;unkonwn;;;;
Anthemis tinctoria;volo-old;unkonwn;;;;
Scabiosa columbaria ;volo-old;unkonwn;;;;
Epilobium dodonaei;volo-old;unkonwn;;;;
Matricaria reticulata;volo-old;unkonwn;;;;
Dianthus carthusianorum;volo-old;unkonwn;;;;
Polemanium caeruleum;volo-old;unkonwn;;;;
Echinacea purpurea;volo-old;unkonwn;;;;
Isiatis tinctoria;volo-old;unkonwn;;;;
Stachys rechta;volo-old;unkonwn;;;;
Salvia pratensis;volo-old;unkonwn;;;;
Scabiosa columbaria;volo-old;unkonwn;;;;
Lavandula officinalis;volo-old;unkonwn;;;;
Tanecetum vulgare;volo-old;unkonwn;;;;
Carlina vulgaris;volo-old;unkonwn;;;;
Campanula rapunculoides;volo-old;unkonwn;;;;
Matricaria chamomilla;personal;unkonwn;biel;;2020;
Stellaria media;biel;unkonwn;Biel;;2020;
Rhinanthus alecterolophus;parasite;special;La Chaux de Fonds;;2020;
Stachys rechta;biel;unknown;La Chaux de Fonds;;2020;
Anacamtis morio;biel;special;Pres-la-Patte;;2020;
silene arvensis;biel;unknown;biel;;2020;
malva alcea;biel;unknown;biel;;2020;
geum urbanum;biel;unknown;biel;;2020;
carduus crispus;biel;unknown;biel;;2020;
papaver sp;biel;unknown;biel;;2020;
malva sylvestris;biel;unknown;cygnes;;2020;
agrostemma githalgo;biel;unknown;store;;2020;
Plantago sp.;biel;unknown;Biel;;2021;
Sanguisorba minor;biel;unknown;Biel;;2021;
melampyrum pratense;parasite;special;Biel;;2021;
medicago sativa;parasite;unknown;Biel;;2021;
tragopogon pratense;biel;unknown;Biel;;2021;
medicago lupulina;parasite;unknown;Biel;;2021;
trifolium campestre;Felseck-bonus;unknown;Biel;;2021;
Anthyllis vulneraria;biel;unknown;Biel;;2021;
cirsium arvense;biel;unknown;La Chaux de Fonds;;2021;
onobrychis viciifolia;biel;unknown;Biel;;2021;
papaver sp;biel;unknown;Biel;;2021;
cirsium vulgare;biel;unknown;Biel;;2021;
epilobium angustifolium;biel;unknown;Orvin;;2021;
chelidonum majus;biel;unknown;Biel;;2021;
centaurea jacea;biel;unknown;Biel;;2021;
epilobium ciliatum;biel;unknown;Biel;;2021;
lotus corniculatus;biel;unknown;Biel;;2021;
carduus personata;biel;unknown;La Chaux de Fonds;;2021;
